meas_min,argu_min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_max,argu_max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,meas_default,argu_default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,type
ChangeInsulationRValueForExteriorWalls,r_value,1.96,1.96,1.96,2.06,1.96,2.08,3.23,3.05,3.32,3.40,3.40,3.40,3.40,3.40,3.40,ChangeInsulationRValueForExteriorWalls,r_value,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,3.40,4.02,3.82,4.51,4.51,4.97,5.61,ChangeInsulationRValueForExteriorWalls,r_value,1.96,1.96,1.96,2.06,1.96,2.08,3.23,3.05,3.32,4.02,3.82,4.51,4.51,4.97,5.61,3
ChangeInsulationRValueForRoofs,r_value_roof,8.37,8.37,8.37,8.37,8.37,8.37,10.00,9.60,10.13,10.90,10.90,10.90,10.90,10.90,10.90,ChangeInsulationRValueForRoofs,r_value_roof,10.90,10.90,10.90,10.90,10.90,10.90,10.90,10.90,10.90,12.25,11.54,15.03,15.03,15.03,15.03,ChangeInsulationRValueForRoofs,r_value_roof,8.37,8.37,8.37,8.37,8.37,8.37,10.00,9.60,10.13,12.25,11.54,15.03,15.03,15.03,15.03,3
ChangeUValueandSHGCOfWindows,window_u_value_ip,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.62,0.62,0.62,0.62,0.62,0.62,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.65,0.65,0.65,0.65,0.65,0.65,ChangeUValueandSHGCOfWindows,window_u_value_ip,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,0.62,0.62,0.62,0.62,0.62,0.62,2
ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,ChangeUValueandSHGCOfWindows,window_shgc,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,ChangeUValueandSHGCOfWindows,window_shgc,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.41,0.41,0.41,0.41,0.41,0.41,2
SetGasBurnerEfficiency,eff,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SetGasBurnerEfficiency,eff,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,SetGasBurnerEfficiency,eff,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,3
ReplaceLightsInSpaceTypeWithLPD,lpd,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,24.1111593334,ReplaceLightsInSpaceTypeWithLPD,lpd,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,39.8264685418,ReplaceLightsInSpaceTypeWithLPD,lpd,31.97,31.97,31.97,31.97,31.97,31.97,31.97,31.97,31.97,31.97,31.97,31.97,31.97,31.97,31.97,3
ChangeCOPforSingleSpeedDXCoolingUnits,cop,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,3.31,ChangeCOPforSingleSpeedDXCoolingUnits,cop,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,3.27,2
SetHeatingandCoolingSizingFactors,htg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,htg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetHeatingandCoolingSizingFactors,clg_sz_factor,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,SetHeatingandCoolingSizingFactors,clg_sz_factor,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1
SetWaterHeaterEfficiency,heater_thermal_efficiency,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.70,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,SetWaterHeaterEfficiency,heater_thermal_efficiency,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,1
AddOverhangsByProjectionFactor,projection_factor,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AddOverhangsByProjectionFactor,projection_factor,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,AddOverhangsByProjectionFactor,projection_factor,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
ChangeOutdoorAir,design_spec_outdoor_air_per_person,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,14.00,ChangeOutdoorAir,design_spec_outdoor_air_per_person,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,26.00,ChangeOutdoorAir,design_spec_outdoor_air_per_person,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,1
ResizeExistingWindowsToMatchAGivenWWR,wwr,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,ResizeExistingWindowsToMatchAGivenWWR,wwr,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1
ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,-35.2325333333,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ChangeElectricEquipmentLoadsByPercentage,elecequip_power_change_percent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ChangeEnergyUseForKitchen,gas,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,1033.69606704,ChangeEnergyUseForKitchen,gas,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,1550.54410056,ChangeEnergyUseForKitchen,gas,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1292.1203691778,1
